43
1, 7
1, 8
2, 6
2, 7
5, 5
5, 6
5, 7
6, 7
6, 8
7, 7
7, 8
9, 6
10, 7
11, 5
11, 6
12, 7
17, 5
17, 6
17, 8
18, 6
18, 7
20, 5
20, 6
20, 8
22, 5
22, 8
24, 8
25, 6
28, 6
32, 8
33, 5
33, 6
33, 8
34, 5
36, 6
37, 5
41, 8
42, 5
42, 8
43, 5
46, 8
48, 6
49, 7
43
1, 3
4, 0
4, 3
5, 2
6, 1
8, 1
8, 3
9, 0
10, 0
10, 3
11, 1
12, 3
13, 0
15, 2
16, 2
17, 0
17, 3
18, 1
19, 2
21, 3
22, 3
26, 2
27, 3
28, 0
28, 1
28, 3
29, 0
30, 0
30, 1
32, 1
33, 0
34, 0
35, 1
35, 3
37, 0
38, 0
40, 1
42, 2
43, 2
44, 3
46, 0
47, 1
47, 3
